id,district,name,surname,party,alliance,status_change,isMilletvekili,profession,title,platform,political_stance,bsky_handle,bsky_displayName,bsky_match_note,bsky_match_status,bsky_description,bsky_best_score,bsky_source
1,Adana,Ömer,Çelik,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,omercelik.com,Omer Celik,no candidates,ok,"Engineer at Amazon & 
Developer of tureng.com",9.0,auto
2,Adana,Ahmet,Zenbilci,Bağımsız,,,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,,999.0,manual
3,Adana,Sunay,Karamık,Bağımsız,,,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,,999.0,manual
4,Adana,Abdullah,Doğru,Bağımsız,,,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,,999.0,manual
5,Adana,Faruk,Aytek,Bağımsız,,,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,,999.0,manual
6,Adana,Orhan,Sümer,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
7,Adana,Müzeyyen,Şevkin,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,muzeyyensevkin.bsky.social,Dr. Müzeyyen Şevkin,score=6,ok,,,auto
8,Adana,Burhanettin,Bulut,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,eczburhan.bsky.social,Burhanettin Bulut,score=8,ok,,,auto
9,Adana,Sadullah,Kısacık,Yeni Yol,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
10,Adana,Ayhan,Barut,Yeni Yol,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyalist Muhalif,ayhanbarut.bsky.social,Ayhan Barut,score=10,ok,,,auto
11,Adana,Muharrem,Varlı,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
12,Adana,Ayşe Sibel,Ersoy,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
13,Adana,Ayyüce,Türkeş Taş,İYİ Parti,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Merkez Sağ Milliyetçi Muhalif,nan,nan,no candidates,manual,,999.0,manual
14,Adana,Bilal,Bilici,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
15,Adana,Tülay,Hatimoğulları Oruç,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Kürt Siyaseti Sol Muhalif,nan,nan,no candidates,manual,,999.0,manual
16,Adıyaman,Resul,Kurt,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
17,Adıyaman,İshak,Şan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
18,Adıyaman,Mustafa,Alkayış,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
19,Adıyaman,Hüseyin,Özhan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
20,Adıyaman,Abdurrahman,Tutdere,Cumhuriyet Halk Partisi,Millet İttifakı,Milletvekilliğinden istifa,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,avtutdere.bsky.social,Av. Abdurrahman Tutdere,score=10,ok,,,auto
21,Afyonkarahisar,Ali,Özkaya,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,ali58ali.bsky.social,Ali Özkaya,no candidates,ok,,9.0,auto
22,Afyonkarahisar,İbrahim,Yurdunuseven,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
23,Afyonkarahisar,Hasan,Arslan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nhba.bsky.social,HASAN ARSLAN,no candidates,ok,"EMEKLİ ÖĞRETMEN
KEMALİST",9.0,auto
24,Afyonkarahisar,Burcu,Köksal,Cumhuriyet Halk Partisi,Millet İttifakı,Milletvekilliğinden istifa,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
25,Afyonkarahisar,Mehmet,Taytak,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
26,Afyonkarahisar,Hakan Şeref,Olgun,İYİ Parti,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Merkez Sağ Milliyetçi Muhalif,hakanseref.bsky.social,Hakan Şeref OLGUN,score=8,ok,,,auto
27,Ağrı,Sırrı,Sakık,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Kürt Siyaseti Sol Muhalif,ssakik.bsky.social,Sırrı Sakık,score=6,ok,,,auto
28,Ağrı,Nejla,Demir,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Kürt Siyaseti Sol Muhalif,nan,nan,no candidates,manual,,999.0,manual
29,Ağrı,Heval,Bozdağ,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Kürt Siyaseti Sol Muhalif,nan,nan,no candidates,manual,,999.0,manual
30,Ağrı,Ruken,Kilerci,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
31,Aksaray,Cengiz,Aydoğdu,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
32,Aksaray,Hüseyin,Altınsoy,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
33,Aksaray,Ramazan,Kaşlı,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
34,Aksaray,Turan,Yaldır,İYİ Parti,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Merkez Sağ Milliyetçi Muhalif,nan,nan,no candidates,manual,,999.0,manual
35,Amasya,Haluk,İpek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
36,Amasya,Hasan,Çilez,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
37,Amasya,Reşat,Karagöz,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
38,Ankara (I),Gamze,Taşçıer,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
39,Ankara (I),Deniz,Demir,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,CHP Ankara Milletvekili,999.0,manual
40,Ankara (I),Okan,Konuralp,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
41,Ankara (I),Sadullah,Ergin,Yeni Yol,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
42,Ankara (I),Mustafa Nedim,Yamalı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
43,Ankara (I),Aliye Timisi,Ersever,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,CHP Ankara Milletvekili,999.0,manual
44,Ankara (I),Yıldırım Tuğrul,Türkeş,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
45,Ankara (I),Jülide,Sarıeroğlu,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
46,Ankara (I),Murat,Alparslan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
47,Ankara (I),Zehranur,Aydemir,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
48,Ankara (I),Koray,Aydın,Bağımsız,,İYİ Parti,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,Ankara Milletvekili | Eski Bayındırlık ve İskan Bakanı | Makine Mühendisi,999.0,manual
49,Ankara (I),Ahmet Eşref,Fakıbaba,Bağımsız,,İYİ Parti,True,Milletvekili,TBMM Milletvekili,TBMM,Bağımsız / Belirtilmemiş,nan,nan,no candidates,manual,,999.0,manual
50,Ankara (I),Mevlüt,Karakaya,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
51,Ankara (II),Vedat,Bilgin,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
