id,name,surname,party,alliance,political_stance,isMilletvekili,bsky_handle,did,verified,displayName
7,Müzeyyen,Şevkin,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,muzeyyensevkin.bsky.social,did:plc:r4iaimw2orq4wx4el2hsofaw,True,Dr. Müzeyyen Şevkin
446,Mehmet,Demir,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,mehmettdemirr.bsky.social,did:plc:7yxvadfrks3dmjbipag657ir,True,Mehmet Demir
438,Barış,Bektaş,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,barisbektaschp.bsky.social,did:plc:nqufb4fe53c7m34zsxheuxap,True,Av. Barış Bektaş
427,Ömer Faruk,Gergerlioğlu,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,gergerliogluof.bsky.social,did:plc:vaum6msqlzkyp5g66jsl2dmx,True,Ömer Faruk Gergerlioğlu
426,Lütfü,Türkkan,İYİ Parti,Millet İttifakı,Merkez Sağ Milliyetçi Muhalif,True,lutfuturkkan.bsky.social,did:plc:fs2fwag6i3ltsxofbtilpbft,True,Lütfü Türkkan
424,Nail,Çiler,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,nailciler.bsky.social,did:plc:5o6d7yn4wgk35t47jgjvekb2,True,Nail Çiler
414,Mustafa,Demir,Bağımsız,,Bağımsız / Belirtilmemiş,True,md236523.bsky.social,did:plc:doq7lpookdoggkoi7bu6oo2d,True,Mustafa Demir 
402,İsmail,Özdemir,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi İktidar,True,ismailozdemir16.bsky.social,did:plc:g5562ubzmd6s5surhzixprj4,True,İsmail Özdemir
401,Mahmut,Arıkan,Saadet Partisi,,Bağımsız / Belirtilmemiş,True,mahmutarikansp.bsky.social,did:plc:icyxsfkr5kk7wug5l3534fjt,True,Mahmut Arıkan
400,Aşkın,Genç,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,chpgencistanbul.bsky.social,did:plc:aoj5ctst2zxetu4hd73eiy4u,True,CHP İstanbul Gençlik Kolları
383,Cem,Şahin,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,cemsahin10.bsky.social,did:plc:3d5ogg44qz34cyntlclrshix,True,Cem Şahin
379,Mehmet,Şahin,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,mhmtshn.bsky.social,did:plc:xlgifkvcm5jnxzkf4azjmslg,True,Mehmet Sahin
366,Deniz,Yücel,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,besserdeniz.bsky.social,did:plc:z34kef3euxljrq6bitivqmuh,True,Deniz Yücel
364,Mahir,Polat,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,mhrplt.bsky.social,did:plc:qbmmhr3f2slivlo64p4ex5zs,True,Dr. Mahir Polat
361,Gökçe,Gökçen,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,gokcegokcen.bsky.social,did:plc:2kglze33eeioofzrsvc5lyhb,True,Gökçe Gökçen
360,Burcugül,Çubuk,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,burcugulc.bsky.social,did:plc:qlpl5jwoshwdoar24sxshtxu,True,Burcugül Çubuk
354,Mehmet,Kasapoğlu,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,kasapoglu.bsky.social,did:plc:76uf5ufhgvfnnvuzfa5qtny4,True,Dr. Mehmet Kasapoğlu
347,Yüksel,Taşkın,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,yukseltaskin.bsky.social,did:plc:q4rsfmjya5kgeqi6rtrg3gv2,True,Yüksel Taşkın
340,Ersin,Beyaz,İYİ Parti,Millet İttifakı,Merkez Sağ Milliyetçi Muhalif,True,ersinbeyaz.bsky.social,did:plc:6glm757vzckop7mxd474lwhu,True,Ersin Beyaz | İstanbul Milletvekili
311,Numan,Kurtulmuş,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,numankurtulmus.bsky.social,did:plc:w4meypx2rqk6y5vlwp5y2g2b,True,Numan Kurtulmuş
301,Mustafa,Kaya,Yeni Yol,Millet İttifakı,Sosyalist Muhalif,True,mikaya.bsky.social,did:plc:u6etqi34bcbja6jdgnvuf6mf,True,Mustafa Kaya
440,Mustafa,Kalaycı,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi İktidar,True,kalalayka.bsky.social,did:plc:nfptwfimwpr6monf76h67sdx,True,Mustafa Kalaycı
453,Veli,Ağbaba,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,veliagbabasevenler.bsky.social,did:plc:papdqxjcijfx6fjaa3yvt2pm,True,Veli Ağbaba Gönüllüleri
276,Burak,Akburak,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,akburak.bsky.social,did:plc:tj6g5uwumwwylfvjak2kt67j,True,
471,Ali Mahir,Başarır,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,alimahir.bsky.social,did:plc:pvdbimwik462nyozwaxy3ipy,True,Ali Mahir Başarır
8,Burhanettin,Bulut,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,eczburhan.bsky.social,did:plc:4ka3xo4jxm7xvuiea3inueox,True,Burhanettin Bulut
599,Deniz,Yavuzyılmaz,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,yavuzyilmazd.bsky.social,did:plc:3rafqqqsuylvmvke3o2x3qol,True,Deniz Yavuzyılmaz
584,Sinan,Çiftyürek,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,canbegyekbun.bsky.social,did:plc:ez2g6nprgm4kjs3lp4qeyjha,True,Sinan Çiftyürek
578,İsmail,Güneş,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,ismailgunes44.bsky.social,did:plc:7u2r67kldbkjwtum6flski7x,True,İsmail güneş
570,Yücel,Bulut,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi İktidar,True,yucelbulut.bsky.social,did:plc:lly7aenrrc6pv2fcx7odl7xo,True,Yücel Bulut
569,Kadim,Durmaz,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,kadimdurmaz.bsky.social,did:plc:6ln4pjbn5p6ikd5arjd6rmou,True,Kadim DURMAZ - Tokat Milletvekili
